municipio_codigo;municipio_nombre;sexo;provincia_nacimiento;numero_defunciones
001; Acebeda (La);Hombre;Albacete;0
001; Acebeda (La);Hombre;Alicante/Alacant;0
001; Acebeda (La);Hombre;Almería;0
001; Acebeda (La);Hombre;Araba/Álava;0
001; Acebeda (La);Hombre;Asturias;0
001; Acebeda (La);Hombre;Ávila;0
001; Acebeda (La);Hombre;Badajoz;0
001; Acebeda (La);Hombre;Baleares (Illes);0
001; Acebeda (La);Hombre;Barcelona;0
001; Acebeda (La);Hombre;Bizkaia;0
001; Acebeda (La);Hombre;Burgos;0
001; Acebeda (La);Hombre;Cáceres;0
001; Acebeda (La);Hombre;Cádiz;0
001; Acebeda (La);Hombre;Cantabria;0
001; Acebeda (La);Hombre;Castellón/Castelló;0
001; Acebeda (La);Hombre;Ceuta;0
001; Acebeda (La);Hombre;Ciudad Real;0
001; Acebeda (La);Hombre;Córdoba;0
001; Acebeda (La);Hombre;Coruña (A);0
001; Acebeda (La);Hombre;Cuenca;0
001; Acebeda (La);Hombre;Gipuzkoa;0
001; Acebeda (La);Hombre;Girona;0
001; Acebeda (La);Hombre;Granada;0
001; Acebeda (La);Hombre;Guadalagara;0
001; Acebeda (La);Hombre;Huelva;0
001; Acebeda (La);Hombre;Huesca;0
001; Acebeda (La);Hombre;Jaen;0
001; Acebeda (La);Hombre;León;0
001; Acebeda (La);Hombre;Lleida;0
001; Acebeda (La);Hombre;Lugo;0
001; Acebeda (La);Hombre;Madrid;1
001; Acebeda (La);Hombre;Málaga;0
001; Acebeda (La);Hombre;Melilla;0
001; Acebeda (La);Hombre;Murcia;0
001; Acebeda (La);Hombre;Navarra;0
001; Acebeda (La);Hombre;No consta;0
001; Acebeda (La);Hombre;Ourense;0
001; Acebeda (La);Hombre;Palencia;0
001; Acebeda (La);Hombre;Palmas (Las);0
001; Acebeda (La);Hombre;Pontevedra;0
001; Acebeda (La);Hombre;Rioja (La);0
001; Acebeda (La);Hombre;Salamanca;0
001; Acebeda (La);Hombre;Santa cruz de Tenerife;0
001; Acebeda (La);Hombre;Segovia;0
001; Acebeda (La);Hombre;Sevilla;0
001; Acebeda (La);Hombre;Soria;0
001; Acebeda (La);Hombre;Tarragona;0
001; Acebeda (La);Hombre;Teruel;0
001; Acebeda (La);Hombre;Toledo;0
001; Acebeda (La);Hombre;Valencia/València;0
001; Acebeda (La);Hombre;Valladolid;0
001; Acebeda (La);Hombre;Zamora;0
001; Acebeda (La);Hombre;Zaragoza;0
001; Acebeda (La);Mujer;Albacete;0
001; Acebeda (La);Mujer;Alicante/Alacant;0
001; Acebeda (La);Mujer;Almería;0
001; Acebeda (La);Mujer;Araba/Álava;0
001; Acebeda (La);Mujer;Asturias;0
001; Acebeda (La);Mujer;Ávila;0
001; Acebeda (La);Mujer;Badajoz;0
001; Acebeda (La);Mujer;Baleares (Illes);0
001; Acebeda (La);Mujer;Barcelona;0
001; Acebeda (La);Mujer;Bizkaia;0
001; Acebeda (La);Mujer;Burgos;0
001; Acebeda (La);Mujer;Cáceres;0
001; Acebeda (La);Mujer;Cádiz;0
001; Acebeda (La);Mujer;Cantabria;0
001; Acebeda (La);Mujer;Castellón/Castelló;0
001; Acebeda (La);Mujer;Ceuta;0
001; Acebeda (La);Mujer;Ciudad Real;0
001; Acebeda (La);Mujer;Córdoba;0
001; Acebeda (La);Mujer;Coruña (A);0
001; Acebeda (La);Mujer;Cuenca;0
001; Acebeda (La);Mujer;Gipuzkoa;0
001; Acebeda (La);Mujer;Girona;0
001; Acebeda (La);Mujer;Granada;0
001; Acebeda (La);Mujer;Guadalagara;0
001; Acebeda (La);Mujer;Huelva;0
001; Acebeda (La);Mujer;Huesca;0
001; Acebeda (La);Mujer;Jaen;0
001; Acebeda (La);Mujer;León;0
001; Acebeda (La);Mujer;Lleida;0
001; Acebeda (La);Mujer;Lugo;0
001; Acebeda (La);Mujer;Madrid;0
001; Acebeda (La);Mujer;Málaga;0
001; Acebeda (La);Mujer;Melilla;0
001; Acebeda (La);Mujer;Murcia;0
001; Acebeda (La);Mujer;Navarra;0
001; Acebeda (La);Mujer;No consta;0
001; Acebeda (La);Mujer;Ourense;0
001; Acebeda (La);Mujer;Palencia;0
001; Acebeda (La);Mujer;Palmas (Las);0
001; Acebeda (La);Mujer;Pontevedra;0
001; Acebeda (La);Mujer;Rioja (La);0
001; Acebeda (La);Mujer;Salamanca;0
001; Acebeda (La);Mujer;Santa cruz de Tenerife;0
001; Acebeda (La);Mujer;Segovia;0
001; Acebeda (La);Mujer;Sevilla;0
001; Acebeda (La);Mujer;Soria;0
001; Acebeda (La);Mujer;Tarragona;0
001; Acebeda (La);Mujer;Teruel;0
001; Acebeda (La);Mujer;Toledo;0
001; Acebeda (La);Mujer;Valencia/València;0
001; Acebeda (La);Mujer;Valladolid;0
001; Acebeda (La);Mujer;Zamora;0
001; Acebeda (La);Mujer;Zaragoza;0
002; Ajalvir;Hombre;Albacete;0
002; Ajalvir;Hombre;Alicante/Alacant;0
002; Ajalvir;Hombre;Almería;0
002; Ajalvir;Hombre;Araba/Álava;0
002; Ajalvir;Hombre;Asturias;0
002; Ajalvir;Hombre;Ávila;0
002; Ajalvir;Hombre;Badajoz;0
002; Ajalvir;Hombre;Baleares (Illes);0
002; Ajalvir;Hombre;Barcelona;0
002; Ajalvir;Hombre;Bizkaia;0
002; Ajalvir;Hombre;Burgos;0
002; Ajalvir;Hombre;Cáceres;0
002; Ajalvir;Hombre;Cádiz;0
002; Ajalvir;Hombre;Cantabria;0
002; Ajalvir;Hombre;Castellón/Castelló;0
002; Ajalvir;Hombre;Ceuta;0
002; Ajalvir;Hombre;Ciudad Real;0
002; Ajalvir;Hombre;Córdoba;1
002; Ajalvir;Hombre;Coruña (A);0
002; Ajalvir;Hombre;Cuenca;0
002; Ajalvir;Hombre;Gipuzkoa;0
002; Ajalvir;Hombre;Girona;0
002; Ajalvir;Hombre;Granada;0
002; Ajalvir;Hombre;Guadalagara;0
002; Ajalvir;Hombre;Huelva;0
002; Ajalvir;Hombre;Huesca;0
002; Ajalvir;Hombre;Jaen;1
002; Ajalvir;Hombre;León;1
002; Ajalvir;Hombre;Lleida;0
002; Ajalvir;Hombre;Lugo;0
002; Ajalvir;Hombre;Madrid;8
002; Ajalvir;Hombre;Málaga;0
002; Ajalvir;Hombre;Melilla;0
002; Ajalvir;Hombre;Murcia;0
002; Ajalvir;Hombre;Navarra;0
002; Ajalvir;Hombre;No consta;0
002; Ajalvir;Hombre;Ourense;0
002; Ajalvir;Hombre;Palencia;0
002; Ajalvir;Hombre;Palmas (Las);0
002; Ajalvir;Hombre;Pontevedra;0
002; Ajalvir;Hombre;Rioja (La);0
002; Ajalvir;Hombre;Salamanca;0
002; Ajalvir;Hombre;Santa cruz de Tenerife;0
002; Ajalvir;Hombre;Segovia;0
002; Ajalvir;Hombre;Sevilla;0
002; Ajalvir;Hombre;Soria;0
002; Ajalvir;Hombre;Tarragona;0
002; Ajalvir;Hombre;Teruel;0
002; Ajalvir;Hombre;Toledo;0
002; Ajalvir;Hombre;Valencia/València;0
002; Ajalvir;Hombre;Valladolid;0
002; Ajalvir;Hombre;Zamora;0
002; Ajalvir;Hombre;Zaragoza;0
002; Ajalvir;Mujer;Albacete;0
002; Ajalvir;Mujer;Alicante/Alacant;0
002; Ajalvir;Mujer;Almería;0
002; Ajalvir;Mujer;Araba/Álava;0
002; Ajalvir;Mujer;Asturias;0
002; Ajalvir;Mujer;Ávila;0
002; Ajalvir;Mujer;Badajoz;0
002; Ajalvir;Mujer;Baleares (Illes);0
002; Ajalvir;Mujer;Barcelona;0
002; Ajalvir;Mujer;Bizkaia;0
002; Ajalvir;Mujer;Burgos;0
002; Ajalvir;Mujer;Cáceres;0
002; Ajalvir;Mujer;Cádiz;0
002; Ajalvir;Mujer;Cantabria;0
002; Ajalvir;Mujer;Castellón/Castelló;0
002; Ajalvir;Mujer;Ceuta;0
002; Ajalvir;Mujer;Ciudad Real;0
002; Ajalvir;Mujer;Córdoba;0
002; Ajalvir;Mujer;Coruña (A);0
002; Ajalvir;Mujer;Cuenca;0
002; Ajalvir;Mujer;Gipuzkoa;0
002; Ajalvir;Mujer;Girona;0
002; Ajalvir;Mujer;Granada;0
002; Ajalvir;Mujer;Guadalagara;0
002; Ajalvir;Mujer;Huelva;0
002; Ajalvir;Mujer;Huesca;0
002; Ajalvir;Mujer;Jaen;0
002; Ajalvir;Mujer;León;0
002; Ajalvir;Mujer;Lleida;0
002; Ajalvir;Mujer;Lugo;0
002; Ajalvir;Mujer;Madrid;5
002; Ajalvir;Mujer;Málaga;0
002; Ajalvir;Mujer;Melilla;0
002; Ajalvir;Mujer;Murcia;0
